0001 0001 
0002 0002 
0003 0003 
0004 0004 
0005 0005 
0006 0006 
0007 0007 
0008 0008 
0009 0009 
000a 000A 
000b 000B 
000c 000C 
000d 000D 
000e 000E 
000f 000F 
0010 0010 
0011 0011 
0012 0012 
0013 0013 
0014 0014 
0015 0015 
0016 0017 
0017 0017 
0018 02D8 
0019 02C7 
001a 02C6 
001b 02D9 
001c 02DD 
001d 02DB 
001e 02DA 
001f 02DC 
0020 0020 
0021 0021 
0022 0022 
0023 0023 
0024 0024 
0025 0025 
0026 0026 
0027 0027 
0028 0028 
0029 0029 
002a 002A 
002b 002B 
002c 002C 
002d 002D 
002e 002E 
002f 002F 
0030 0030 
0031 0031 
0032 0032 
0033 0033 
0034 0034 
0035 0035 
0036 0036 
0037 0037 
0038 0038 
0039 0039 
003a 003A 
003b 003B 
003c 003C 
003d 003D 
003e 003E 
003f 003F 
0040 0040 
0041 0041 
0042 0042 
0043 0043 
0044 0044 
0045 0045 
0046 0046 
0047 0047 
0048 0048 
0049 0049 
004a 004A 
004b 004B 
004c 004C 
004d 004D 
004e 004E 
004f 004F 
0050 0050 
0051 0051 
0052 0052 
0053 0053 
0054 0054 
0055 0055 
0056 0056 
0057 0057 
0058 0058 
0059 0059 
005a 005A 
005b 005B 
005c 005C 
005d 005D 
005e 005E 
005f 005F 
0060 0060 
0061 0061 
0062 0062 
0063 0063 
0064 0064 
0065 0065 
0066 0066 
0067 0067 
0068 0068 
0069 0069 
006a 006A 
006b 006B 
006c 006C 
006d 006D 
006e 006E 
006f 006F 
0070 0070 
0071 0071 
0072 0072 
0073 0073 
0074 0074 
0075 0075 
0076 0076 
0077 0077 
0078 0078 
0079 0079 
007a 007A 
007b 007B 
007c 007C 
007d 007D 
007e 007E 
0080 2022 
0081 2020 
0082 2021 
0083 2026 
0084 2014 
0085 2013 
0086 0192 
0087 2044 
0088 2039 
0089 203A 
008a 2212 
008b 2030 
008c 201E 
008d 201C 
008e 201D 
008f 2018 
0090 2019 
0091 201A 
0092 2122 
0093 FB01 
0094 FB02 
0095 0141 
0096 0152 
0097 0160 
0098 0178 
0099 017D 
009a 0131 
009b 0142 
009c 0153 
009d 0161 
009e 017E 
00a0 20AC 
00a1 00A1 
00a2 00A2 
00a3 00A3 
00a4 00A4 
00a5 00A5 
00a6 00A6 
00a7 00A7 
00a8 00A8 
00a9 00A9 
00aa 00AA 
00ab 00AB 
00ac 00AC 
00ae 00AE 
00af 00AF 
00b0 00B0 
00b1 00B1 
00b2 00B2 
00b3 00B3 
00b4 00B4 
00b5 00B5 
00b6 00B6 
00b7 00B7 
00b8 00B8 
00b9 00B9 
00ba 00BA 
00bb 00BB 
00bc 00BC 
00bd 00BD 
00be 00BE 
00bf 00BF 
00c0 00C0 
00c1 00C1 
00c2 00C2 
00c3 00C3 
00c4 00C4 
00c5 00C5 
00c6 00C6 
00c7 00C7 
00c8 00C8 
00c9 00C9 
00ca 00CA 
00cb 00CB 
00cc 00CC 
00cd 00CD 
00ce 00CE 
00cf 00CF 
00d0 00D0 
00d1 00D1 
00d2 00D2 
00d3 00D3 
00d4 00D4 
00d5 00D5 
00d6 00D6 
00d7 00D7 
00d8 00D8 
00d9 00D9 
00da 00DA 
00db 00DB 
00dc 00DC 
00dd 00DD 
00de 00DE 
00df 00DF 
00e0 00E0 
00e1 00E1 
00e2 00E2 
00e3 00E3 
00e4 00E4 
00e5 00E5 
00e6 00E6 
00e7 00E7 
00e8 00E8 
00e9 00E9 
00ea 00EA 
00eb 00EB 
00ec 00EC 
00ed 00ED 
00ee 00EE 
00ef 00EF 
00f0 00F0 
00f1 00F1 
00f2 00F2 
00f3 00F3 
00f4 00F4 
00f5 00F5 
00f6 00F6 
00f7 00F7 
00f8 00F8 
00f9 00F9 
00fa 00FA 
00fb 00FB 
00fc 00FC 
00fd 00FD 
00fe 00FE 
00ff 00FF 
